ibutton,date.time,ibutton.temp,site,fish_depth,dissolved.oxygen.x,date.x,logger.site,logger.position,depth,site.total.depth,logger.type,latitude,longitude,dissolved.oxygen.y,temperature,logger.id,date.y,time,day.night,quarterly,dT,dz,mid_depth,abs_dT,dTdz,resolvable,depth_diff
2,2021-07-29T00:30:00Z,12.312,norwood,1.55,3.604,2021-07-29,norwood.mouth,bottom.do,1.45,1.65,minidot.do,44.384152,-123.236857,3.604,13.044,215432,2021-07-29,0:31,night,1,-0.1479999999999997,0.050000000000000044,1.475,0.1479999999999997,-2.959999999999991,FALSE,0.07499999999999996
5,2021-07-29T00:30:00Z,13.188,blue.ruin,0.907514625781723,2.59822858400425,2021-07-29,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.47,12.72,21063701,2021-07-29,NA,NA,NA,-0.4280000000000008,0.15000000000000013,1.025,0.4280000000000008,-2.853333333333336,TRUE,0.11748537421827687
8,2021-07-29T00:30:00Z,14.968,blue.ruin,0.745924954609643,3.0859355915418,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.677,20659256,2021-07-29,NA,NA,NA,-4.956999999999999,0.44999999999999996,0.725,4.956999999999999,-11.015555555555554,TRUE,0.020924954609643054
10,2021-07-29T00:30:00Z,12.602,blue.ruin,0.991355140186916,2.51238901869159,2021-07-29,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.47,12.72,21063701,2021-07-29,NA,NA,NA,-0.4280000000000008,0.15000000000000013,1.025,0.4280000000000008,-2.853333333333336,TRUE,0.03364485981308396
15,2021-07-29T00:30:00Z,13.085,blue.ruin,0.916865039338309,2.57000733581528,2021-07-29,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.47,12.72,21063701,2021-07-29,NA,NA,NA,-0.4280000000000008,0.15000000000000013,1.025,0.4280000000000008,-2.853333333333336,TRUE,0.10813496066169093
16,2021-07-29T00:30:00Z,14.027,norwood,1.06534782608696,3.18024152173913,2021-07-29,norwood.mouth,mid.do,0.85,1.65,hobo.onset.do,44.384152,-123.236857,2.943,14.805,931632,2021-07-29,0:31,night,1,-0.6109999999999989,0.15000000000000002,0.925,0.6109999999999989,-4.073333333333325,TRUE,0.14034782608695995
17,2021-07-29T00:30:00Z,16.51,blue.ruin,0.605941093403268,3.50843233627377,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.677,20659256,2021-07-29,NA,NA,NA,-4.956999999999999,0.44999999999999996,0.725,4.956999999999999,-11.015555555555554,TRUE,0.11905890659673202
23,2021-07-29T00:30:00Z,13.562,blue.ruin,0.873562638692758,2.70070185412731,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.677,20659256,2021-07-29,NA,NA,NA,-4.956999999999999,0.44999999999999996,0.725,4.956999999999999,-11.015555555555554,TRUE,0.148562638692758
30,2021-07-29T00:30:00Z,14.103,blue.ruin,0.824450272342142,2.84893190529462,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.677,20659256,2021-07-29,NA,NA,NA,-4.956999999999999,0.44999999999999996,0.725,4.956999999999999,-11.015555555555554,TRUE,0.09945027234214199
4,2021-07-29T00:35:00Z,11.938,norwood,1.55,3.553,2021-07-29,norwood.mouth,bottom.do,1.45,1.65,minidot.do,44.384152,-123.236857,3.553,12.974,215432,2021-07-29,0:36,night,1,-0.0779999999999994,0.050000000000000044,1.475,0.0779999999999994,-1.5599999999999867,FALSE,0.07499999999999996
