ibutton,date.time,ibutton.temp,site,fish_depth,dissolved.oxygen,date
14,2021-07-29T01:25:00Z,15.568,norwood,0.752508496520473,3.62374283864703,2021-07-29
21,2021-07-29T01:25:00Z,16.529,blue.ruin,0.595711037618851,3.46133394716073,2021-07-29
5,2021-07-29T01:30:00Z,14.75,blue.ruin,0.762266500622665,2.97176044379033,2021-07-29
8,2021-07-29T01:30:00Z,15.72,blue.ruin,0.671668742216687,3.21390354352994,2021-07-29
10,2021-07-29T01:30:00Z,12.539,blue.ruin,1.01387711864407,2.52876694915254,2021-07-29
15,2021-07-29T01:30:00Z,12.96,blue.ruin,0.92945205479452,2.52491905354919,2021-07-29
16,2021-07-29T01:30:00Z,13.401,norwood,1.23975069252078,2.68657340720222,2021-07-29
17,2021-07-29T01:30:00Z,16.948,blue.ruin,0.556973848069738,3.52045171515906,2021-07-29
23,2021-07-29T01:30:00Z,14.814,blue.ruin,0.756288916562889,2.98773689573191,2021-07-29
30,2021-07-29T01:30:00Z,14.793,blue.ruin,0.758250311332503,2.98249462243858,2021-07-29
6,2021-07-29T01:35:00Z,14.25,norwood,0.925,2.558625,2021-07-29
11,2021-07-29T01:35:00Z,15.099,blue.ruin,0.728720545680033,3.10165226051336,2021-07-29
14,2021-07-29T01:35:00Z,14.879,norwood,0.817538586515028,2.86536620633631,2021-07-29
18,2021-07-29T01:35:00Z,14.685,norwood,0.836450040617384,2.6793090170593,2021-07-29
21,2021-07-29T01:35:00Z,15.965,blue.ruin,0.648170731707317,3.33158536585366,2021-07-29
22,2021-07-29T01:35:00Z,14.424,blue.ruin,0.791504754030591,2.92243188394904,2021-07-29
31,2021-07-29T01:35:00Z,14.987,blue.ruin,0.739138073584126,3.07191495358713,2021-07-29
5,2021-07-29T01:40:00Z,13.812,blue.ruin,0.849875466998755,2.7111966489301502,2021-07-29
7,2021-07-29T01:40:00Z,14.143,blue.ruin,0.818960149439601,2.78258292765765,2021-07-29
8,2021-07-29T01:40:00Z,15.594,blue.ruin,0.683437110834371,3.09551794407336,2021-07-29
10,2021-07-29T01:40:00Z,12.539,blue.ruin,1.00786948176583,2.5404736084453,2021-07-29
13,2021-07-29T01:40:00Z,15.23,norwood,0.797992100065833,3.11135615536537,2021-07-29
16,2021-07-29T01:40:00Z,13.839,norwood,1.05867729831144,2.59747936210131,2021-07-29
17,2021-07-29T01:40:00Z,16.385,blue.ruin,0.609557907845579,3.26611174006566,2021-07-29
23,2021-07-29T01:40:00Z,14.626,blue.ruin,0.773848069738481,2.88675082078569,2021-07-29
30,2021-07-29T01:40:00Z,14.793,blue.ruin,0.758250311332503,2.92276746292313,2021-07-29
11,2021-07-29T01:45:00Z,15.287,blue.ruin,0.71004362276693,2.99971824602485,2021-07-29
14,2021-07-29T01:45:00Z,15.13,norwood,0.795908346972177,3.08991093835243,2021-07-29
15,2021-07-29T01:45:00Z,12.96,blue.ruin,0.927565434150395,2.50139555085546,2021-07-29
18,2021-07-29T01:45:00Z,15.5,norwood,0.765630114566285,3.38093521549373,2021-07-29
22,2021-07-29T01:45:00Z,14.424,blue.ruin,0.790714582467802,2.81490841107376,2021-07-29
