date.time,tag.id,receiver.site,antenna.number,temp.sd,temp.strong,lat,long,strength,gap,temp.diff,mainstem.temp,foray
8/2/2021 19:50,11,1,1,0,15.6,44.2333796,-123.1625399,92,10,-0.8,20.96,0
8/2/2021 21:10,11,1,1,NA,14,44.2333796,-123.1625399,78,80,-1.6,20.913,0
8/2/2021 21:20,11,1,1,2.116601049,15.6,44.2333796,-123.1625399,84,10,1.6,20.913,0
8/2/2021 23:20,11,1,1,NA,14,44.2333796,-123.1625399,77,70,-1.6,20.579,0
8/3/2021 0:40,11,1,1,0.565685425,13.2,44.2333796,-123.1625399,74,80,-0.8,20.293,0
8/3/2021 1:00,11,1,1,NA,13.2,44.2333796,-123.1625399,75,20,0,20.293,0
8/3/2021 3:10,11,1,1,NA,12.4,44.2333796,-123.1625399,73,70,-0.8,20.103,0
8/3/2021 3:20,11,1,1,0.4,13.2,44.2333796,-123.1625399,76,10,0.8,20.103,0
8/3/2021 6:50,11,1,1,0.653197265,17.2,44.2333796,-123.1625399,82,90,4,19.579,1
8/3/2021 7:00,11,1,1,2.496438489,15.6,44.2333796,-123.1625399,118,10,-1.6,19.532,0
8/3/2021 13:00,11,1,1,3.269250679,22,44.2333796,-123.1625399,97,80,6.4,20.007,1
8/3/2021 13:10,11,1,1,0.386436713,14.8,44.2333796,-123.1625399,86,10,-7.2,19.865,0
8/3/2021 17:10,11,4,1,0.373679493,23.6,44.2303277,-123.1622552,128,240,8.8,20.984,0
8/3/2021 18:20,11,1,1,0,15.6,44.2333796,-123.1625399,103,70,-8,21.032,0
8/3/2021 20:10,11,4,1,NA,17.2,44.2303277,-123.1622552,113,110,1.6,20.865,0
8/3/2021 21:00,11,1,1,NA,12.4,44.2333796,-123.1625399,73,50,-4.8,20.793,0
8/4/2021 2:20,11,1,1,NA,13.2,44.2333796,-123.1625399,74,80,0.8,19.46,0
8/4/2021 3:00,11,1,1,NA,14,44.2333796,-123.1625399,74,40,0.8,19.532,0
8/4/2021 4:10,11,1,1,NA,14,44.2333796,-123.1625399,68,70,0,19.365,0
8/4/2021 4:30,11,1,1,0,12.4,44.2333796,-123.1625399,48,20,-1.6,19.318,0
8/4/2021 6:30,11,1,1,NA,10.8,44.2333796,-123.1625399,84,90,-1.6,18.675,0
8/4/2021 6:50,11,1,1,NA,13.2,44.2333796,-123.1625399,80,20,2.4,18.699,0
8/4/2021 8:00,11,1,1,1.13137085,15.6,44.2333796,-123.1625399,76,70,2.4,18.723,1
8/4/2021 10:00,11,1,1,NA,14,44.2333796,-123.1625399,85,120,-1.6,18.675,0
8/4/2021 10:50,11,4,1,0.311399578,22.8,44.2303277,-123.1622552,114,50,8.8,19.056,0
8/4/2021 13:40,11,1,1,NA,14,44.2333796,-123.1625399,76,170,-8.8,20.269,0
8/4/2021 19:00,11,1,1,NA,14.8,44.2333796,-123.1625399,70,320,0.8,21.199,0
8/4/2021 20:00,11,1,1,1.6653328,11.6,44.2333796,-123.1625399,76,60,-3.2,21.151,0
