date.time,tag.id,receiver.site,antenna.number,temp.sd,temp.strong,lat,long,strength,logger.site,fish.depth,fish.do
7/29/2021 1:20,11,1,2,NA,11.6,44.2333796,-123.1625399,46,site.1,2.5,2.481
7/29/2021 1:50,11,1,1,NA,11.6,44.2333796,-123.1625399,56,site.0.mouth,mouth.mixed,NA
7/29/2021 2:00,11,1,2,NA,14.8,44.2333796,-123.1625399,72,site.1,0.3,7.129
7/29/2021 2:10,11,1,1,NA,13.2,44.2333796,-123.1625399,77,site.0.mouth,mouth.mixed,NA
7/29/2021 2:20,11,1,1,NA,14.8,44.2333796,-123.1625399,76,site.0.mouth,mouth.mixed,NA
7/29/2021 4:00,11,1,2,NA,13.2,44.2333796,-123.1625399,74,site.1,1.215179606,4.540698725
7/29/2021 5:30,11,1,1,NA,14,44.2333796,-123.1625399,82,site.0.mouth,mouth.mixed,NA
7/29/2021 8:20,11,1,2,NA,11.6,44.2333796,-123.1625399,73,site.1,2.5,2.786
7/29/2021 8:50,11,1,1,NA,22.8,44.2333796,-123.1625399,59,site.0.mouth,mouth.mixed,NA
7/29/2021 9:00,11,4,1,5.017303393,22.8,44.2303277,-123.1622552,132,site.4.netpen,0,7.09
7/29/2021 13:20,11,1,1,NA,12.4,44.2333796,-123.1625399,44,site.0.mouth,mouth.mixed,NA
7/29/2021 18:40,11,4,1,0.403619983,22,44.2303277,-123.1622552,109,site.4.netpen,0.076388889,8.96
7/29/2021 21:00,11,1,1,0.565685425,13.2,44.2333796,-123.1625399,80,site.0.mouth,mouth.mixed,NA
7/29/2021 21:10,11,1,1,1.043072385,13.2,44.2333796,-123.1625399,66,site.0.mouth,mouth.mixed,NA
7/29/2021 21:20,11,1,2,NA,12.4,44.2333796,-123.1625399,72,site.1,2.5,4.688
7/29/2021 21:30,11,1,2,0.565685425,14,44.2333796,-123.1625399,76,site.1,1.573409031,5.112100343
7/29/2021 21:40,11,1,1,0.4,14,44.2333796,-123.1625399,78,site.0.mouth,mouth.mixed,NA
7/29/2021 22:00,11,1,1,NA,14,44.2333796,-123.1625399,74,site.0.mouth,mouth.mixed,NA
7/29/2021 22:20,11,1,1,0.625388768,16.4,44.2333796,-123.1625399,90,site.0.mouth,mouth.mixed,NA
7/29/2021 22:40,11,1,1,0.8,14.8,44.2333796,-123.1625399,74,site.0.mouth,mouth.mixed,NA
7/29/2021 22:50,11,4,1,1.6653328,13.2,44.2303277,-123.1622552,46,site.4.netpen,0.942322129,2.663325127
7/29/2021 23:00,11,1,2,NA,14.8,44.2333796,-123.1625399,75,site.1,0.599812804,4.885985399
7/29/2021 23:10,11,4,1,0,19.6,44.2303277,-123.1622552,144,site.4.netpen,0.201140065,8.76
7/29/2021 23:40,11,1,1,NA,16.4,44.2333796,-123.1625399,76,site.0.mouth,mouth.mixed,NA
7/30/2021 0:10,11,1,1,0.461880215,13.2,44.2333796,-123.1625399,76,site.0.mouth,mouth.mixed,NA
7/30/2021 0:40,11,1,1,NA,14,44.2333796,-123.1625399,81,site.0.mouth,mouth.mixed,NA
7/30/2021 2:30,11,4,1,0,13.2,44.2303277,-123.1622552,55,site.4.netpen,0.896053946,2.637214214
7/30/2021 3:10,11,1,2,NA,14.8,44.2333796,-123.1625399,74,site.1,0.3,5.581
7/30/2021 3:40,11,1,1,0.565685425,14.8,44.2333796,-123.1625399,87,site.0.mouth,mouth.mixed,NA
7/30/2021 3:50,11,1,1,0.565685425,14,44.2333796,-123.1625399,86,site.0.mouth,mouth.mixed,NA
7/30/2021 4:40,11,1,2,NA,22.8,44.2333796,-123.1625399,80,site.1,0.3,6.344
